       value	     chindex	     chlabel	        bini	  binlabel	ERPset
      13.253	           2	        E104	         430	05_:_30310	
       4.589	           2	        E104	         431	05_:_30401	
       3.852	           2	        E104	         432	05_:_30402	
      -2.434	           2	        E104	         433	05_:_30403	
       0.792	           2	        E104	         434	05_:_30404	
      11.098	           2	        E104	         435	05_:_30405	
       8.551	           2	        E104	         436	05_:_30406	
      14.835	           2	        E104	         437	05_:_30407	
      15.707	           2	        E104	         438	05_:_30408	
      27.679	           2	        E104	         439	05_:_30409	
      18.121	           2	        E104	         440	05_:_30410	
       2.729	           2	        E104	         441	05_:_30501	
      16.499	           2	        E104	         442	05_:_30502	
      10.575	           2	        E104	         443	05_:_30503	
      15.478	           2	        E104	         444	05_:_30504	
      14.448	           2	        E104	         445	05_:_30505	
      13.179	           2	        E104	         446	05_:_30506	
       8.616	           2	        E104	         447	05_:_30507	
      20.998	           2	        E104	         448	05_:_30508	
      19.069	           2	        E104	         449	05_:_30509	
      19.064	           2	        E104	         450	05_:_30510	
     -15.071	           2	        E104	         451	05_:_60101	
       0.842	           2	        E104	         452	05_:_60102	
      -8.533	           2	        E104	         453	05_:_60103	
      -3.690	           2	        E104	         454	05_:_60104	
      -7.774	           2	        E104	         455	05_:_60105	
      -0.876	           2	        E104	         456	05_:_60106	
     -11.910	           2	        E104	         457	05_:_60107	
       8.009	           2	        E104	         458	05_:_60108	
      -5.118	           2	        E104	         459	05_:_60109	
       8.552	           2	        E104	         460	05_:_60110	
       4.133	           2	        E104	         461	05_:_60201	
      -1.071	           2	        E104	         462	05_:_60202	
       5.712	           2	        E104	         463	05_:_60203	
      -0.131	           2	        E104	         464	05_:_60204	
      19.975	           2	        E104	         465	05_:_60205	
       1.985	           2	        E104	         466	05_:_60206	
       2.038	           2	        E104	         467	05_:_60207	
       9.766	           2	        E104	         468	05_:_60208	
       3.005	           2	        E104	         469	05_:_60209	
      21.959	           2	        E104	         470	05_:_60210	
       9.161	           2	        E104	         471	05_:_60301	
       0.832	           2	        E104	         472	05_:_60302	
       5.491	           2	        E104	         473	05_:_60303	
       4.198	           2	        E104	         474	05_:_60304	
       6.970	           2	        E104	         475	05_:_60305	
